Gene	C12
C12_Sobic.001G322100	0
C12_Sobic.001G322200	1
C12_Sobic.001G322400	0
C12_Sobic.001G323101	0
C12_Sobic.001G323200	1
C12_Sobic.001G323900	0
C12_Sobic.001G324100	0
C12_Sobic.001G324700	0
C12_Sobic.001G327100	0
C12_Sobic.001G327400	0
C12_Sobic.001G328800	0
C12_Sobic.001G329400	0
C12_Sobic.001G329600	0
C12_Sobic.001G329701	0
C12_Sobic.001G331800	0
C12_Sobic.001G333000	0
C12_Sobic.001G334600	0
C12_Sobic.001G335100	0
C12_Sobic.001G335700	0
C12_Sobic.001G335800	0
C12_Sobic.001G336600	0
C12_Sobic.001G337400	0
C12_Sobic.001G337600	0
C12_Sobic.001G338100	0
C12_Sobic.001G338500	0
C12_Sobic.001G338700	0
C12_Sobic.001G341300	0
C12_Sobic.001G341700	0
C12_Sobic.001G341900	0
C12_Sobic.001G345200	3
C12_Sobic.001G347100	0
C12_Sobic.001G347600	0
C12_Sobic.001G348900	0
C12_Sobic.001G349900	1
C12_Sobic.001G350000	0
C12_Sobic.001G350300	0
C12_Sobic.001G352200	0
C12_Sobic.001G353000	1
C12_Sobic.001G353100	0
C12_Sobic.001G353250	0
C12_Sobic.001G355500	0
C12_Sobic.001G355900	0
C12_Sobic.001G356400	0
C12_Sobic.001G357700	0
C12_Sobic.001G357800	0
C12_Sobic.001G358200	1
C12_Sobic.001G359400	1
C12_Sobic.001G359900	0
C12_Sobic.001G360000	1
C12_Sobic.001G360600	1
C12_Sobic.001G361000	0
C12_Sobic.001G361700	0
C12_Sobic.001G363100	0
C12_Sobic.001G364800	0
C12_Sobic.001G365400	0
C12_Sobic.001G365700	0
C12_Sobic.001G367900	0
C12_Sobic.001G370000	0
C12_Sobic.001G372500	0
C12_Sobic.001G372600	0
C12_Sobic.001G373200	0
C12_Sobic.001G373900	0
C12_Sobic.001G375800	1
C12_Sobic.001G377300	0
C12_Sobic.001G378300	0
C12_Sobic.001G382100	1
C12_Sobic.001G384500	0
C12_Sobic.001G384800	1
C12_Sobic.001G387500	0
C12_Sobic.001G387700	0
C12_Sobic.001G388000	0
C12_Sobic.001G388300	0
C12_Sobic.001G388400	0
C12_Sobic.001G388700	0
C12_Sobic.001G388800	0
C12_Sobic.001G390000	1
C12_Sobic.001G391300	1
C12_Sobic.001G391600	0
C12_Sobic.001G393800	0
C12_Sobic.001G394900	0
C12_Sobic.001G395600	0
C12_Sobic.001G395700	0
C12_Sobic.001G395800	0
C12_Sobic.001G396200	0
C12_Sobic.001G396300	0
C12_Sobic.001G397500	0
C12_Sobic.001G397600	0
C12_Sobic.001G398300	1
C12_Sobic.001G398500	0
C12_Sobic.001G399100	0
C12_Sobic.001G399800	0
C12_Sobic.001G400300	0
C12_Sobic.001G401900	0
C12_Sobic.001G402400	0
C12_Sobic.001G402800	0
C12_Sobic.001G403200	0
C12_Sobic.001G403300	1
C12_Sobic.001G404900	0
C12_Sobic.001G405100	0
C12_Sobic.001G405700	1
C12_Sobic.001G406700	0
C12_Sobic.001G407000	0
C12_Sobic.001G407900	0
C12_Sobic.001G408001	0
C12_Sobic.001G408800	0
C12_Sobic.001G409100	0
C12_Sobic.001G410000	0
C12_Sobic.001G410600	0
C12_Sobic.001G410800	0
C12_Sobic.001G411100	0
C12_Sobic.001G411500	1
C12_Sobic.001G413600	0
C12_Sobic.001G414400	0
C12_Sobic.001G414650	0
C12_Sobic.001G415200	0
C12_Sobic.001G415400	0
C12_Sobic.001G417200	0
C12_Sobic.001G417600	0
C12_Sobic.001G422800	0
C12_Sobic.001G423100	1
C12_Sobic.001G423400	0
C12_Sobic.001G424000	1
C12_Sobic.001G424400	0
C12_Sobic.001G425400	0
C12_Sobic.001G427600	0
C12_Sobic.001G429700	0
C12_Sobic.001G430000	0
C12_Sobic.001G431100	0
C12_Sobic.001G431400	0
C12_Sobic.001G432800	0
C12_Sobic.001G433000	0
C12_Sobic.001G434100	0
C12_Sobic.001G434600	0
C12_Sobic.001G436450	0
C12_Sobic.001G436500	1
C12_Sobic.001G437000	0
C12_Sobic.001G438800	0
C12_Sobic.001G439000	0
C12_Sobic.001G439100	0
C12_Sobic.001G439900	0
C12_Sobic.001G440200	0
C12_Sobic.001G440500	0
C12_Sobic.001G442200	0
C12_Sobic.001G442400	0
C12_Sobic.001G442500	0
C12_Sobic.001G443300	0
C12_Sobic.001G445200	0
C12_Sobic.001G445900	0
C12_Sobic.001G446300	0
C12_Sobic.001G447900	0
C12_Sobic.001G448000	0
C12_Sobic.001G449700	0
C12_Sobic.001G450200	0
C12_Sobic.001G451200	0
C12_Sobic.001G451500	0
C12_Sobic.001G453300	0
C12_Sobic.001G453700	0
C12_Sobic.001G454700	0
C12_Sobic.001G454900	0
C12_Sobic.001G455100	1
C12_Sobic.001G455250	0
C12_Sobic.001G455300	1
C12_Sobic.001G455400	0
C12_Sobic.001G455500	0
C12_Sobic.001G456200	0
C12_Sobic.001G457500	0
